"","compound","LSM.ID","LSM.name","cell","Concordance","Tanimoto","autodock","Rank_S2L","Rank_Autodock","Geomean"
"15411","ZINC09232677","LSM-45297","Deferasirox","MCF7",0.216,0.775,5.32e-07,9421,20359,13849.2649263418
"15412","ZINC55341959","LSM-1931","CHEMBL81330","VCAP",0.325,0.746,2.41e-07,13471,14239,13849.6775774745
"15413","ZINC09910219","LSM-45708","Coluracetam","PC3",0.308,0.723,1.55e-07,17327,11071,13850.1702877618
"15414","ZINC63137669","LSM-4734","SPOX1_000836","HCC515",0.215,0.777,5.74e-07,9180,20897,13850.4317622232
"15415","ZINC34749313","LSM-40876","BRD-K65983169","PC3",0.238,0.737,1.93e-07,15158,12657,13851.1662324874
"15416","ZINC63867163","LSM-37210","IWP 2","NEU",0.236,0.742,2.15e-07,14270,13445,13851.3591390881
"15417","ZINC06301816","LSM-1094","XMD 8-92","HS578T",0.293,0.679,9.13e-08,24872,7716,13853.243374748
"15418","ZINC38703089","LSM-2115","Isorotenone","A549",0.273,0.8,2.88e-06,6371,30123,13853.2896093311
"15419","ZINC17214723","LSM-45974","VRT752271","YAPC",0.262,0.762,3.56e-07,11145,17220,13853.4075230609
"15420","ZINC39776593","LSM-2709","DP-5-CT","HA1E",0.218,0.8,2.49e-06,6504,29512,13854.4594986596
"15421","ZINC00973376","LSM-44612","CHEMBL2381524","HA1E",0.318,0.81,3.84e-05,5405,35513,13854.5214641286
"15422","ZINC34377802","LSM-1081","PDK1 Inhibitor","PC3",0.313,0.765,3.89e-07,10720,17906,13854.685849921
"15423","ZINC39752436","LSM-22739","SMR000064811","PC3",0.316,0.773,5.09e-07,9586,20025,13854.9503788357
"15424","ZINC02793668","LSM-2956","MLS003448167","MCF7",0.206,0.81,2.02e-05,5496,34929,13855.3160916668
"15425","ZINC06442826","LSM-45513","AZD1981","PC3",0.236,0.788,9.94e-07,7802,24607,13855.822386275
"15426","ZINC19354154","LSM-45568","CEP-32496","A375",0.328,0.74,2.08e-07,14539,13205,13855.9552178838
"15427","ZINC05237698","LSM-6571","MLS000703473","A375",0.212,0.673,8.68e-08,25890,7417,13857.3493136314
"15428","ZINC08988692","LSM-38726","BRD-K26772093","MCF7",0.194,0.703,1.16e-07,20902,9187,13857.368942191
"15429","ZINC41026184","LSM-2379","Amiodarone","NPC",0.274,0.667,8.33e-08,26689,7196,13858.3564682108
"15430","ZINC14532123","LSM-3278","PRE-084","HA1E",0.283,0.804,5.12e-06,5974,32151,13858.9348075529
"15431","ZINC39656018","LSM-39847","BRD-K46532981","VCAP",0.318,0.74,2.08e-07,14546,13206,13859.8151502825
"15432","ZINC63269255","LSM-5404","(S)-(-)-Warfarin","PC3",0.241,0.789,1.07e-06,7668,25052,13859.9688311338
"15433","ZINC20883921","LSM-4890","Troglitazone","VCAP",0.268,0.696,1.08e-07,22046,8714,13860.3334736218
"15434","ZINC59269888","LSM-4122","Dihydrorobustic acid","A549",0.195,0.736,1.9e-07,15312,12547,13860.7237906251
"15435","ZINC38902729","LSM-1958","SMR000390896","VCAP",0.311,0.74,2.08e-07,14549,13207,13861.7691150877
"15436","ZINC08755422","LSM-1809","Monastrol","VCAP",0.253,0.808,1.14e-05,5643,34053,13862.2176797221
"15437","ZINC40019500","LSM-45428","Dronedarone HCl","HA1E",0.246,0.804,4.9e-06,6004,32012,13863.623191648
"15438","ZINC22835690","LSM-2216","MLS002264436","VCAP",0.184,0.77,4.54e-07,10042,19140,13863.7613943691
"15439","ZINC67101771","LSM-5801","Dyclonine","MCF7",0.352,0.775,5.49e-07,9343,20572,13863.772790983
"15440","ZINC06149176","LSM-1149","SCHEMBL570779","HEPG2",0.25,0.768,4.24e-07,10334,18602,13864.8140268811
"15441","ZINC50854388","LSM-3070","ML216","VCAP",0.258,0.778,6.03e-07,9034,21285,13866.8197507576
"15442","ZINC50806880","LSM-1059","AZD-6482","HS578T",0.318,0.787,9.74e-07,7859,24468,13867.0116463498
"15443","ZINC39695349","LSM-36822","BRD-K94498396","MCF7",0.202,0.697,1.09e-07,21920,8773,13867.3775458808
"15444","ZINC10070905","LSM-4185","Relcovaptan","A549",0.261,0.75,2.64e-07,12907,14900,13867.7431473185
"15445","ZINC20758305","LSM-1143","Trametinib","MCF10A",0.287,0.757,3.14e-07,11853,16226,13868.1930329802
"15446","ZINC12452315","LSM-41130","BRD-K70880645","VCAP",0.326,0.772,4.91e-07,9733,19763,13869.148459801
"15447","ZINC39016927","LSM-4726","3-Chloro-n-{3-[(furan-2-ylmethyl)carbamoyl]-5,6-dihydro-4H-cyclopenta[b]thiophen-2-yl}-1-benzothiophene-2-carboxamide","A549",0.266,0.723,1.55e-07,17376,11072,13870.3666858523
"15448","ZINC38666144","LSM-43097","Dacinostat","A549",0.338,0.764,3.77e-07,10892,17665,13871.0915215782
"15449","ZINC14739343","LSM-45417","Avasimibe","YAPC",0.284,0.745,2.35e-07,13683,14064,13872.1920401932
"15450","ZINC44662356","LSM-3914","MLS002607669","HCC515",0.318,0.776,5.76e-07,9198,20922,13872.2945470459
"15451","ZINC14250986","LSM-45306","","HL60",0.258,0.7,1.13e-07,21350,9014,13872.5952871119
"15452","ZINC39361153","LSM-2431","STK661558","VCAP",0.326,0.682,9.4e-08,24386,7892,13872.7903465741
"15453","ZINC13206522","LSM-3245","VU0405166-2","VCAP",0.186,0.784,7.82e-07,8355,23036,13873.2036675023
"15454","ZINC01407890","LSM-2177","BRD-K08829932","HEPG2",0.269,0.747,2.47e-07,13368,14399,13873.9263368377
"15455","ZINC60163337","LSM-3979","AC1MCK4U","VCAP",0.285,0.771,4.77e-07,9857,19531,13875.0519638667
"15456","ZINC39636591","LSM-15049","BRD-K66805710","VCAP",0.194,0.667,8.15e-08,27155,7090,13875.4801718715
"15457","ZINC28792950","LSM-6214","CHEMBL258148","MCF7",0.292,0.719,1.45e-07,18084,10648,13876.5425088528
"15458","ZINC09125662","LSM-2643","MLS001065859","PC3",0.248,0.695,1.07e-07,22247,8656,13876.9604741096
"15459","ZINC06286419","LSM-38922","BRD-K30267135","A549",0.192,0.778,5.89e-07,9134,21083,13877.0357785804
"15460","ZINC09521377","LSM-3874","Protopine","VCAP",0.223,0.617,6.48e-08,32383,5947,13877.380912838
"15461","ZINC39533963","LSM-42603","BRD-K98370047","HT29",0.216,0.782,7.19e-07,8564,22490,13878.1972892736
"15462","ZINC39973118","LSM-4637","STK218951","PC3",0.192,0.648,7.33e-08,29360,6561,13879.1555939113
"15463","ZINC10264036","LSM-2705","SMR001317718","VCAP",0.252,0.778,6.06e-07,9037,21321,13880.8456874933
"15464","ZINC39024553","LSM-45353","N-{3-[(4-methoxyphenyl)amino]-1,4-dioxo-1,4-dihydronaphthalen-2-yl}acetamide","CD34",0.227,0.778,5.97e-07,9085,21211,13881.7122502953
"15465","ZINC16914022","LSM-36641","PK04_181299","MCF7",0.171,0.73,1.72e-07,16320,11813,13884.8176077326
"15466","ZINC11557948","LSM-37077","Dichlorobenzamil","NPC",0.175,0.786,8.65e-07,8138,23697,13886.9069990405
"15467","ZINC55175245","LSM-5303","XAV 939","SW620",0.273,0.786,9e-07,8056,23948,13889.7475858995
"15468","ZINC14038013","LSM-2555","MLS002415567","PC3",0.247,0.709,1.27e-07,19811,9740,13890.9733280285
"15469","ZINC20417571","LSM-43150","Phylloquinone","A375",0.214,0.738,1.99e-07,14998,12867,13891.697736418
"15470","ZINC37769892","LSM-3172","N-(3-Chloro-4-fluorophenyl)-5-(pyridin-4-yl)-1,3,4-thiadiazol-2-amine","A549",0.289,0.8,3.16e-06,6331,30482,13891.7796556093
"15471","ZINC13109169","LSM-36982","Surinabant","NPC",0.178,0.684,9.59e-08,24111,8004,13891.8841054768
"15472","ZINC55327937","LSM-1517","Dcpib","HA1E",0.27,0.77,4.64e-07,9990,19321,13893.0482616307
"15473","ZINC63589160","LSM-39461","BRD-K39766484","MCF7",0.214,0.8,2.57e-06,6511,29645,13893.1132220248
"15474","ZINC13008200","LSM-2780","Lintitript","VCAP",0.256,0.74,2.08e-07,14614,13208,13893.2253994528
"15475","ZINC11691827","LSM-45125","AC1NX97Q","PC3",0.215,0.767,4.11e-07,10525,18343,13894.6059677848
"15476","ZINC62396241","LSM-1983","RO 08-2750","VCAP",0.315,0.806,8.53e-06,5767,33479,13895.0852102461
"15477","ZINC19278118","LSM-4306","Mepivacaine","A375",0.291,0.778,6.27e-07,8965,21537,13895.2943473681
"15478","ZINC01747702","LSM-1048","CI-1040","ASC",0.325,0.796,1.93e-06,6813,28340,13895.338067136
"15479","ZINC00887209","LSM-1823","MLS003221409","VCAP",0.228,0.7,1.13e-07,21419,9015,13895.7650023307
"15480","ZINC13146002","LSM-42631","CHEMBL3186091","A375",0.229,0.72,1.47e-07,17994,10731,13895.8128225736
"15481","ZINC12468075","LSM-5233","Raltegravir","MCF7",0.231,0.686,9.78e-08,23760,8127,13895.9533677974
"15482","ZINC39674971","LSM-2248","GR-144053","A549",0.265,0.72,1.48e-07,17943,10762,13896.1349302603
"15483","ZINC09884195","LSM-39200","BRD-K35208671","VCAP",0.187,0.771,4.71e-07,9938,19433,13896.9476504735
"15484","ZINC09884367","LSM-4618","CHEMBL1612418","VCAP",0.198,0.722,1.52e-07,17657,10938,13897.2035316462
"15485","ZINC12039847","LSM-42258","SA-103013","NKDBA",0.25,0.677,9.05e-08,25225,7657,13897.7633092523
"15486","ZINC12487794","LSM-1357","OPREA1_214521","PC3",0.195,0.8,2.49e-06,6545,29513,13898.2943198077
"15487","ZINC44974994","LSM-37752","BRD-K09014535","HT29",0.217,0.705,1.2e-07,20558,9396,13898.3080984701
"15488","ZINC22925005","LSM-7883","BRD-K78961368","VCAP",0.232,0.784,8.02e-07,8324,23206,13898.4439416792
"15489","ZINC29154862","LSM-4036","MLS000526305","HT29",0.279,0.696,1.09e-07,22018,8774,13899.134217641
"15490","ZINC39793755","LSM-10798","BRD-K39066612","VCAP",0.293,0.721,1.51e-07,17742,10889,13899.375453595
"15491","ZINC15007348","LSM-11258","BRD-K46373821","VCAP",0.27,0.667,8.38e-08,26718,7232,13900.5243066584
"15492","ZINC58392755","LSM-45676","","HT29",0.2,0.646,7.27e-08,29607,6527,13901.2549433495
"15493","ZINC35636452","LSM-39019","SA-1472514","NKDBA",0.165,0.711,1.29e-07,19615,9852,13901.3301521833
"15494","ZINC57653905","LSM-6507","Nordihydroguaiaretic acid","YAPC",0.295,0.789,1.14e-06,7604,25415,13901.6423490176
"15495","ZINC08659312","LSM-4869","MLS-0435531.0001","VCAP",0.282,0.73,1.74e-07,16231,11907,13901.8889723663
"15496","ZINC33279351","LSM-39308","BRD-K37149438","PC3",0.237,0.688,9.98e-08,23486,8229,13902.024816551
"15497","ZINC21251117","LSM-4646","T5223000","VCAP",0.23,0.535,5.78e-08,35620,5426,13902.3062834912
"15498","ZINC35843685","LSM-36432","BRD-K38620156","PC3",0.262,0.744,2.3e-07,13898,13907,13902.4992717137
"15499","ZINC06614573","LSM-5232","ST50982848","MCF7",0.269,0.792,1.38e-06,7278,26564,13904.4162768525
"15500","ZINC13134184","LSM-1752","KUC103420N","A375",0.242,0.697,1.1e-07,21898,8830,13905.3709047979
"15501","ZINC63270658","LSM-4777","F3284-4453","VCAP",0.269,0.786,9.05e-07,8061,23988,13905.6559715822
"15502","ZINC07824513","LSM-2340","SEW2871","MCF7",0.249,0.712,1.32e-07,19336,10001,13906.0898889659
"15503","ZINC39988174","LSM-2177","BRD-K08829932","HEPG2",0.269,0.779,6.58e-07,8844,21866,13906.2181774917
"15504","ZINC06059728","LSM-40051","BRD-K50176356","HT29",0.178,0.786,8.75e-07,8137,23767,13906.5480619743
"15505","ZINC27023785","LSM-5753","Acemetacin","PC3",0.209,0.808,1.17e-05,5670,34113,13907.5774310266
"15506","ZINC63144215","LSM-5624","Levosulpiride","A549",0.319,0.783,7.87e-07,8383,23074,13907.887761986
"15507","ZINC05594162","LSM-4610","Arundine","A549",0.223,0.797,2.03e-06,6767,28585,13908.0802054058
"15508","ZINC64981799","LSM-4632","ST030350","VCAP",0.237,0.791,1.25e-06,7447,25979,13909.1916731347
"15509","ZINC22506027","LSM-2403","MLS000095184","HT29",0.23,0.761,3.49e-07,11336,17068,13909.8112136722
"15510","ZINC12833063","LSM-45820","Letermovir","MCF7",0.216,0.762,3.59e-07,11196,17283,13910.444565146
"15511","ZINC06149147","LSM-1149","SCHEMBL570779","HEPG2",0.25,0.768,4.31e-07,10333,18728,13911.0180792061
"15512","ZINC36648243","LSM-4548","AC1LP9YB","VCAP",0.27,0.745,2.37e-07,13693,14133,13911.2605108236
"15513","ZINC03840522","LSM-10794","BRD-K39032190","VCAP",0.253,0.581,6.04e-08,34405,5625,13911.4386387606
"15514","ZINC22137874","LSM-5233","Raltegravir","MCF7",0.231,0.704,1.19e-07,20718,9343,13912.8815850635
"15515","ZINC13750240","LSM-44614","MW-STK33-100","THP1",0.29,0.787,9.88e-07,7876,24577,13912.8879820115
"15516","ZINC64002342","LSM-7957","BRD-K86693846","VCAP",0.2,0.621,6.59e-08,32069,6036,13912.8891320243
"15517","ZINC02368583","LSM-3463","MLS001065880","VCAP",0.2,0.721,1.5e-07,17847,10847,13913.5333039455
"15518","ZINC13750240","LSM-44614","MW-STK33-100","THP1",0.29,0.787,9.88e-07,7877,24578,13914.0542617887
"15519","ZINC46735897","LSM-3255","MLS002471791","MCF7",0.277,0.615,6.5e-08,32457,5965,13914.2374925829
"15520","ZINC39677717","LSM-3058","4-(4-Octadecylphenyl)-4-oxobut-2-enoic acid","PC3",0.285,0.729,1.72e-07,16388,11814,13914.3031446063
"15521","ZINC13750240","LSM-44614","MW-STK33-100","THP1",0.29,0.787,9.88e-07,7878,24579,13915.2205156799
"15522","ZINC36026982","LSM-2554","MLS-0367705.0001","PC3",0.205,0.745,2.35e-07,13770,14065,13916.7183631774
"15523","ZINC40844732","LSM-3826","TCS-359","A549",0.171,0.735,1.89e-07,15482,12511,13917.4459582209
"15524","ZINC07574143","LSM-1408","MLS001060802","VCAP",0.231,0.795,1.74e-06,6974,27775,13917.7171260232
"15525","ZINC63541288","LSM-5013","KI-16425","MCF7",0.334,0.716,1.41e-07,18550,10443,13918.2488122608
"15526","ZINC60211096","LSM-45540","LX-1031","HELA",0.236,0.803,4.33e-06,6125,31631,13919.0472015868
"15527","ZINC39624105","LSM-39026","BRD-K32014638","HT29",0.2,0.764,3.77e-07,10968,17666,13919.7948260741
"15528","ZINC20203993","LSM-41195","BRD-K72425572","PC3",0.33,0.663,8.15e-08,27328,7091,13920.5907920605
"15529","ZINC12246984","LSM-3278","PRE-084","HA1E",0.283,0.726,1.65e-07,16833,11513,13921.1468277581
"15530","ZINC33058165","LSM-5586","PD-168,077","A549",0.303,0.683,9.61e-08,24174,8017,13921.3130846196
"15531","ZINC10602230","LSM-45824","Etravirine (TMC125)","MCF7",0.267,0.719,1.46e-07,18116,10698,13921.3852758984
"15532","ZINC25049192","LSM-1676","MLS002477154","MCF7",0.237,0.6,6.25e-08,33532,5780,13921.744143605
"15533","ZINC35481725","LSM-37983","BRD-K13982317","HT29",0.185,0.671,8.58e-08,26326,7365,13924.4744963679
"15534","ZINC36603180","LSM-36982","Surinabant","NPC",0.178,0.75,2.54e-07,13268,14614,13924.74603
"15535","ZINC38742660","LSM-4884","CHEMBL1617615","VCAP",0.271,0.673,8.84e-08,25781,7521,13924.7585616412
"15536","ZINC39664149","LSM-37414","BRD-K02515288","A549",0.319,0.766,4.1e-07,10583,18326,13926.3799316262
"15537","ZINC01502812","LSM-15492","ABT-724","HELA",0.164,0.658,7.83e-08,28126,6897,13927.8505879407
"15538","ZINC24709239","LSM-36687","SUGA2_000514","VCAP",0.244,0.663,8.15e-08,27354,7092,13928.1932783832
"15539","ZINC64798519","LSM-45540","LX-1031","HELA",0.236,0.722,1.54e-07,17616,11014,13929.2004077765
"15540","ZINC06143645","LSM-3826","TCS-359","A549",0.171,0.736,1.93e-07,15330,12658,13930.080401778
"15541","ZINC63472990","LSM-2287","Midostaurin","VCAP",0.345,0.767,4.27e-07,10401,18659,13930.981982617
"15542","ZINC00926303","LSM-39879","SA-1937536","MCF7",0.24,0.705,1.21e-07,20535,9451,13931.1264799369
"15543","ZINC39693541","LSM-3534","Dicyclomine","HCC515",0.221,0.756,3.1e-07,12040,16122,13932.2962931456
"15544","ZINC41584565","LSM-45549","GDC-0834 (Racemate)","HA1E",0.196,0.725,1.61e-07,17128,11333,13932.3947690266
"15545","ZINC06173096","LSM-4019","AC1MEMPN","PC3",0.247,0.594,6.21e-08,33849,5735,13932.8394449947
"15546","ZINC13145752","LSM-42352","BRD-K93419974","A549",0.301,0.697,1.11e-07,21829,8893,13932.8854513342
"15547","ZINC00320499","LSM-6516","AC1N39OF","VCAP",0.174,0.806,7.32e-06,5860,33128,13933.0570945504
"15548","ZINC63384611","LSM-45563","SN-38","A375",0.226,0.692,1.05e-07,22696,8554,13933.4699195857
"15549","ZINC13500630","LSM-45737","Anamorelin","A375",0.218,0.671,8.61e-08,26289,7385,13933.5661264444
"15550","ZINC49471970","LSM-2000","CHEMBL1269202","HEPG2",0.236,0.767,4.17e-07,10503,18486,13934.0754268089
"15551","ZINC12468080","LSM-5233","Raltegravir","MCF7",0.231,0.686,9.88e-08,23761,8172,13934.6651197652
"15552","ZINC19095881","LSM-3934","CHEMBL1938917","HCC515",0.286,0.78,7e-07,8702,22314,13934.7202340054
"15553","ZINC25672911","LSM-4632","ST030350","VCAP",0.237,0.771,4.81e-07,9902,19610,13934.7845336769
"15554","ZINC14988280","LSM-4139","DM161","HT29",0.284,0.721,1.52e-07,17752,10939,13935.1759228221
"15555","ZINC03361146","LSM-6371","SMR000075319","A549",0.27,0.683,9.61e-08,24220,8018,13935.4210557127
"15556","ZINC36534215","LSM-3876","FK888","A549",0.287,0.726,1.66e-07,16826,11542,13935.7702334675
"15557","ZINC13115961","LSM-38826","BRD-K28573311","HT29",0.216,0.588,6.13e-08,34111,5694,13936.5718166269
"15558","ZINC13133645","LSM-4036","MLS000526305","HT29",0.279,0.672,8.76e-08,26004,7470,13937.3555597897
"15559","ZINC09492067","LSM-43103","ZINC06431970","VCAP",0.326,0.685,9.85e-08,23813,8158,13937.9501362288
"15560","CHEMBL25579","LSM-3513","ZM323881","HCC515",0.287,0.795,1.85e-06,6911,28110,13938.0131295676
"15561","CHEMBL436511","LSM-45494","AC480 (BMS-599626)","YAPC",0.209,0.744,2.3e-07,13974,13908,13940.9609424889
"15562","ZINC36052177","LSM-2139","MLS002276485","HT29",0.267,0.759,3.39e-07,11566,16808,13942.7876696161
"15563","ZINC58754144","LSM-4031","Nefazodone","HA1E",0.251,0.766,4.07e-07,10644,18266,13943.5757250427
"15564","ZINC57608381","LSM-5998","Pilaralisib","YAPC",0.27,0.75,2.73e-07,12849,15136,13945.6969707505
"15565","ZINC46680803","LSM-4803","N-(5-Chloro-2-hydroxyphenyl)-2-ethoxybenzamide","VCAP",0.209,0.714,1.36e-07,19050,10211,13947.0265648274
"15566","ZINC14678465","LSM-1849","MLS000519739","PC3",0.348,0.683,9.68e-08,24134,8060,13947.0441312846
"15567","ZINC22081788","LSM-5233","Raltegravir","MCF7",0.231,0.631,6.89e-08,31167,6242,13947.9179091361
"15568","ZINC28186456","LSM-4570","8,10-Dimethyl-4-(2-methylphenyl)-3,4-dihydro-1H-pyrido[3',2':4,5]thieno[3,2-e][1,4]diazepine-2,5-dione","VCAP",0.324,0.782,7.64e-07,8504,22885,13950.4136139399
"15569","ZINC39635140","LSM-45488","Mitiglinide calcium","HELA",0.195,0.672,8.73e-08,26134,7447,13950.6235702925
"15570","ZINC44975395","LSM-3439","KUC104488","MCF7",0.361,0.754,3.02e-07,12231,15913,13951.0538311627
"15571","ZINC13063322","LSM-3979","AC1MCK4U","VCAP",0.285,0.652,7.65e-08,28801,6758,13951.2421669183
"15572","ZINC39599015","LSM-39847","BRD-K46532981","VCAP",0.318,0.8,3.67e-06,6272,31049,13954.9033676339
"15573","ZINC03011145","LSM-3245","VU0405166-2","VCAP",0.186,0.727,1.68e-07,16755,11623,13955.0480113828
"15574","ZINC18281072","LSM-1984","MLS002276535","VCAP",0.18,0.75,2.57e-07,13262,14685,13955.3742336062
"15575","ZINC01892794","LSM-4702","F3098-7034","MCF7",0.266,0.673,8.88e-08,25789,7553,13956.5152169157
"15576","ZINC02849456","LSM-3826","TCS-359","A549",0.171,0.78,6.81e-07,8804,22131,13958.5573753164
"15577","ZINC38671459","LSM-39876","BRD-K46815273","MCF7",0.228,0.768,4.35e-07,10359,18809,13958.597028355
"15578","ZINC28535533","LSM-3245","VU0405166-2","VCAP",0.186,0.787,9.72e-07,7974,24453,13963.8183173515
"15579","ZINC16292761","LSM-2287","Midostaurin","VCAP",0.345,0.759,3.44e-07,11508,16944,13963.9375535699
"15580","ZINC22803669","LSM-37884","BRD-K11932360","A549",0.167,0.766,4.05e-07,10698,18227,13963.9695645615
"15581","ZINC39280316","LSM-36600","BRD-K92543914","A375",0.328,0.684,9.83e-08,23934,8148,13964.7496218156
"15582","ZINC16292761","LSM-2287","Midostaurin","VCAP",0.345,0.759,3.44e-07,11509,16945,13964.9563193015
"15583","ZINC19360357","LSM-7883","BRD-K78961368","VCAP",0.232,0.784,8.3e-07,8325,23426,13965.0080558516
"15584","ZINC06822141","LSM-2672","FR-122047","VCAP",0.311,0.797,2.33e-06,6675,29219,13965.558528036
"15585","ZINC14459074","LSM-44636","K114","NEU",0.18,0.769,4.48e-07,10246,19036,13965.7744504199
"15586","ZINC64711224","LSM-4171","ST029676","MCF7",0.171,0.778,6.03e-07,9163,21286,13965.8017313722
"15587","ZINC16292761","LSM-2287","Midostaurin","VCAP",0.345,0.759,3.44e-07,11510,16946,13965.9750823206
"15588","ZINC09374465","LSM-36808","KUC111109N","PC3",0.265,0.762,3.7e-07,11141,17510,13967.0651892228
"15589","ZINC13568502","LSM-42970","MLS001060805","A375",0.215,0.793,1.52e-06,7197,27109,13967.9444801302
"15590","ZINC24986464","LSM-37236","N-(P-aminophenethyl)spiperone","NPC",0.213,0.724,1.6e-07,17267,11300,13968.4322670799
"15591","ZINC33113666","LSM-1143","Trametinib","MCF10A",0.287,0.797,2.29e-06,6696,29140,13968.5876165058
"15592","ZINC36936527","LSM-2042","NSC 663284","HT29",0.24,0.806,8.39e-06,5837,33436,13970.1800990538
"15593","ZINC64678415","LSM-3836","MLS003329221","A549",0.395,0.618,6.63e-08,32237,6055,13971.2216717079
"15594","ZINC03157856","LSM-3775","NSC665366","A549",0.224,0.781,7.26e-07,8654,22556,13971.385901191
"15595","ZINC21705443","LSM-43103","ZINC06431970","VCAP",0.326,0.77,4.8e-07,9965,19589,13971.5562841081
"15596","ZINC55163945","LSM-5143","Rimantadine","MCF7",0.273,0.765,4e-07,10765,18135,13972.2322840697
"15597","ZINC35379131","LSM-40381","BRD-K56647759","PC3",0.207,0.678,9.23e-08,25111,7776,13973.6586476127
"15598","ZINC08989882","LSM-40097","SA-1938867","MCF7",0.29,0.743,2.3e-07,14040,13909,13974.3464963482
"15599","CHEMBL266995","LSM-5206","Apigenin","MCF7",0.347,0.8,3.92e-06,6244,31279,13975.1950254728
"15600","ZINC05257228","LSM-4544","MLS000582131","NPC",0.211,0.769,4.52e-07,10227,19103,13977.3524317018
"15601","ZINC24713793","LSM-3633","MLS001065913","PC3",0.164,0.683,9.61e-08,24364,8019,13977.6577436994
"15602","ZINC02727937","LSM-1732","Liquiritigenin Dimethyl Ether","HT29",0.227,0.795,1.8e-06,6988,27959,13977.7498904509
"15603","ZINC33121084","LSM-38747","BRD-K27198330","A375",0.241,0.741,2.17e-07,14455,13518,13978.6512224892
"15604","ZINC43509596","LSM-40035","BRD-K49910674","VCAP",0.235,0.543,5.88e-08,35474,5509,13979.4944829919
"15605","ZINC63351024","LSM-45209","XMD15-27","SKBR3",0.268,0.731,1.8e-07,16066,12164,13979.5144407808
"15606","ZINC63270994","LSM-45116","BRD-K88710727","A549",0.254,0.6,6.32e-08,33498,5834,13979.5326102127
"15607","ZINC13063923","LSM-45820","Letermovir","MCF7",0.216,0.75,2.63e-07,13139,14874,13979.6096512027
"15608","ZINC06321248","LSM-1065","Aurora A Inhibitor I","MCF7",0.289,0.705,1.23e-07,20476,9545,13980.1080110277
"15609","ZINC02768276","LSM-5753","Acemetacin","PC3",0.209,0.792,1.4e-06,7335,26647,13980.5488089703
"15610","ZINC18029977","LSM-45800","","MCF7",0.227,0.792,1.42e-06,7315,26721,13980.8481502375
"15611","ZINC01372523","LSM-5732","Ispinesib","NEU",0.17,0.759,3.36e-07,11683,16734,13982.2502480824
"15612","ZINC07315825","LSM-1801","AC1MD3YP","PC3",0.204,0.759,3.38e-07,11649,16784,13982.7327801113
"15613","ZINC20512365","LSM-36956","1,3(2H,9bh)-Dibenzofurandione, 2,6-diacetyl-7,9-dihydroxy-8,9b-dimethyl-,(9bs)-","FIBRNPC",0.232,0.783,7.94e-07,8454,23131,13983.9005288224
"15614","ZINC16613229","LSM-2789","NNC 63-0532","HCC515",0.218,0.716,1.42e-07,18646,10488,13984.2499977653
"15615","ZINC38785486","LSM-3422","ASN 04454474","VCAP",0.324,0.677,9.23e-08,25147,7777,13984.570747792
"15616","ZINC05477701","LSM-4074","ORG-41841","MCF7",0.219,0.75,2.64e-07,13125,14901,13984.8355371095
"15617","ZINC06135274","LSM-2893","KUC104337","HEPG2",0.236,0.7,1.15e-07,21401,9140,13985.890747464
"15618","ZINC06301624","LSM-2757","GP 2A","VCAP",0.307,0.655,7.82e-08,28405,6887,13986.6091315944
"15619","CHEMBL165508","LSM-5774","Vatalanib","PC3",0.227,0.781,7.31e-07,8653,22609,13986.9824122289
"15620","ZINC09277707","LSM-11109","BRD-K43931839","VCAP",0.244,0.698,1.13e-07,21699,9016,13987.0720309863
"15621","ZINC08765435","LSM-5013","KI-16425","MCF7",0.334,0.766,4.18e-07,10574,18505,13988.2761625584
"15622","ZINC09712729","LSM-3777","FPL64176","NCIH1836",0.278,0.747,2.55e-07,13362,14644,13988.3211287131
"15623","ZINC63386923","LSM-42420","BRD-K95052025","MCF7",0.286,0.758,3.33e-07,11735,16677,13989.4458432062
"15624","ZINC63686426","LSM-45125","AC1NX97Q","PC3",0.215,0.661,8.12e-08,27696,7067,13990.2691896904
"15625","ZINC40260636","LSM-5946","Pimasertib","PC3",0.301,0.8,3.7e-06,6298,31078,13990.3268010436
"15626","ZINC06657707","LSM-2834","MRS 1220","HT29",0.264,0.761,3.61e-07,11301,17321,13990.8763485351
"15627","ZINC33612977","LSM-39963","BRD-K48505466","VCAP",0.168,0.627,6.83e-08,31550,6205,13991.7028985038
"15628","ZINC39695825","LSM-38382","BRD-K20601561","PC3",0.243,0.734,1.91e-07,15549,12591,13992.0498498254
"15629","ZINC06198004","LSM-38519","BRD-K22983069","VCAP",0.282,0.696,1.11e-07,22014,8894,13992.587895025
"15630","ZINC14999098","LSM-43123","SCHEMBL15422156","NPC",0.314,0.701,1.18e-07,21108,9276,13992.7769938637
"15631","ZINC22020944","LSM-3881","MLS003329222","A549",0.399,0.726,1.69e-07,16789,11663,13993.2164637013
"15632","ZINC24090668","LSM-43103","ZINC06431970","VCAP",0.326,0.662,8.25e-08,27389,7150,13993.975489474
"15633","ZINC43464910","LSM-5404","(S)-(-)-Warfarin","PC3",0.241,0.807,1.23e-05,5725,34207,13994.1085818283
"15634","ZINC44658333","LSM-42879","MEK1/2 Inhibitor","HCC515",0.288,0.755,3.11e-07,12123,16158,13995.8363094172
"15635","ZINC36271650","LSM-2688","Pifithrin-beta","HCC515",0.227,0.556,5.95e-08,35219,5562,13996.0022149184
