"LINCS Candidate Name","Candidate LSM ID","Cell Line","Concordance"
"BRD-K30160673","LSM-46078","VCAP",0.252
"SA-247582","LSM-40758","NKDBA",0.252
"CHEMBL2355399","LSM-39827","VCAP",0.252
"BRD-K85528826","LSM-13656","VCAP",0.252
"Hemado","LSM-1233","MCF7",0.252
"BRD-K53949821","LSM-40233","VCAP",0.252
"SA-88642","LSM-39543","MCF7",0.252
"Diethyltoluamide","LSM-4114","HA1E",0.252
"BRD-K09824708","LSM-14715","HT29",0.252
"Flupentixol","LSM-43011","A549",0.252
"BRD-K24621485","LSM-9922","VCAP",0.252
"Trichloroethylene","LSM-37096","HA1E",0.252
"CHEMBL1719929","LSM-2892","MCF7",0.252
"MLS-0435526.0001","LSM-4881","PHH",0.252
"Lurasidone","LSM-45843","MCF7",0.252
"BRD-K55878534","LSM-44796","HT29",0.252
"CHEMBL2143681","LSM-6163","MCF7",0.252
"Epothilone B (EPO906, Patupilone)","LSM-46001","YAPC",0.252
"CID 57083817","LSM-5420","PC3",0.252
"10-{3-[4-(2-Chloroethyl)piperazin-1-yl]propyl}-2-(trifluoromethyl)-10H-phenothiazine","LSM-3198","MCF7",0.252
"BRD-K25159388","LSM-9958","HT29",0.251
"NCGC00025322-01","LSM-2687","HA1E",0.251
"BRD-K68097207","LSM-14903","PC3",0.251
"E4031","LSM-2928","HEPG2",0.251
"Saxagliptin","LSM-45955","YAPC",0.251
"BRD-K41429297","LSM-6111","A549",0.251
"CHEMBL1456638","LSM-42884","PC3",0.251
"Nefazodone","LSM-4031","HA1E",0.251
"BRD-K42862966","LSM-11031","VCAP",0.251
"BRD-K22321414","LSM-45310","HA1E",0.251
"BRD-K30183231","LSM-38917","VCAP",0.251
"BRD-K03608142","LSM-37470","HT29",0.251
"CHEMBL2362220","LSM-39025","A375",0.251
"Defactinib","LSM-45153","HA1E",0.251
"BG45","LSM-37032","NEU",0.251
"BRD-K91720591","LSM-14061","VCAP",0.251
"BRD-K77760488","LSM-41512","VCAP",0.251
"BRD-K20490522","LSM-38373","A375",0.251
"CHEMBL2143863","LSM-6878","VCAP",0.251
"Carmofur","LSM-5293","A549",0.251
"Acetazolamide","LSM-5543","MCF7",0.251
"SCHEMBL3092652","LSM-6193","MCF7",0.251
"Propylthiouracil","LSM-5592","VCAP",0.251
"Tebipenem Pivoxil","LSM-46000","PC3",0.251
"(+)-Taxifolin","LSM-5990","MCF7",0.251
"SMR000206938","LSM-1663","HT29",0.251
"Ridaforolimus (Deforolimus, MK-8669)","LSM-45997","YAPC",0.251
"Sufentanil","LSM-45544","A375",0.251
"S1RA (hydrochloride)","LSM-45440","PC3",0.251
"BRD-K85694079","LSM-41944","HA1E",0.251
"Bis-Tyrphostin","LSM-42937","MCF7",0.251
"Arachidonyl Trifluoromethylketone","LSM-43275","RKO",0.251
"Nimodipine","LSM-1659","A375",0.251
"Fcodpguefhccia-Uhfffaoysa-N","LSM-42689","RMUGS",0.251
"Oxidopamine","LSM-37081","NPC",0.251
"BRD-K13400470-019-01-3","LSM-36553","PC3",0.251
"ZINC01207723","LSM-4675","ASC",0.251
"BRD-K68201904","LSM-12586","VCAP",0.251
"MLS001065847","LSM-2237","MCF7",0.251
"BRD-K50079182","LSM-15145","VCAP",0.251
"3,5-Diiodo-l-thyronine","LSM-5738","MCF7",0.251
"Proglumide","LSM-4439","HA1E",0.251
"Valrubicin","LSM-45887","MCF7",0.251
"Omeprazole","LSM-1651","HELA",0.251
"NCGC00011767","LSM-3280","MCF7",0.251
"BRD-K89915215","LSM-42170","HT29",0.251
"BRD-K99136192","LSM-14517","VCAP",0.251
"SCHEMBL2243755","LSM-4012","A375",0.251
"SB225002","LSM-3367","HT29",0.251
"BRD-K61431779","LSM-12152","VCAP",0.251
"KW-06","LSM-36896","FIBRNPC",0.251
"BRD-K12124649","LSM-37893","A549",0.251
"MY 5445","LSM-4024","MCF7",0.251
"BRD-K83826027","LSM-13551","PC3",0.251
"MLS002276542","LSM-1681","HCC515",0.251
"Epinephrine HCl","LSM-45900","HA1E",0.251
"MLS002607728","LSM-3095","A375",0.251
"CHEMBL3261381","LSM-4686","MCF7",0.251
"Brucine","LSM-5758","PC3",0.251
"CHEMBL2360118","LSM-12682","A375",0.251
"BRD-K64687628","LSM-40803","MCF7",0.251
"SCHEMBL2590640","LSM-3948","MCF7",0.251
"BRD-K48031880","LSM-39936","VCAP",0.251
"BRD-K30459086","LSM-6100","VCAP",0.251
"BRD-M79326715","LSM-45069","MCF7",0.251
"BRD-K66947316","LSM-44831","PC3",0.251
"BRD-K82021299","LSM-41751","VCAP",0.251
"BRD-K14533651","LSM-38025","VCAP",0.251
"APIXABAN","LSM-45660","MCF7",0.251
"CHEMBL1822499","LSM-3331","VCAP",0.251
"BRD-K94616516","LSM-42409","HT29",0.251
"KUC104123","LSM-2866","A375",0.251
"BRD-K30160673-019-01-7","LSM-36523","VCAP",0.251
"DH 97","LSM-2108","HEPG2",0.251
"MLS002474466","LSM-6126","VCAP",0.251
"R428","LSM-45574","MCF7",0.251
"Gliquidone","LSM-3809","A549",0.251
"Isogedunin","LSM-1621","A549",0.251
"BRD-K50078508","LSM-11473","A375",0.251
"Hydrastinine","LSM-4079","MCF7",0.251
"DMXAA (Vadimezan)","LSM-45482","HA1E",0.251
"CYM50174","LSM-3946","HT29",0.251
"BRD-K42279779","LSM-7385","VCAP",0.251
"Sulconazole","LSM-1751","PC3",0.251
"BRD-K75843415","LSM-13067","HT29",0.25
"SA-1456352","LSM-38703","NKDBA",0.25
"SSR 69071","LSM-3634","VCAP",0.25
"Senicapoc","LSM-45645","HELA",0.25
"CHEMBL1509101","LSM-3740","HCC515",0.25
"TAS-301","LSM-3234","HA1E",0.25
"Methyllycaconitine","LSM-1457","VCAP",0.25
"SKF 86002","LSM-4189","VCAP",0.25
"BRD-K60756411","LSM-40590","A375",0.25
"ML181","LSM-2790","HEPG2",0.25
"SCHEMBL570779","LSM-1149","HEPG2",0.25
"Betrixaban","LSM-45445","YAPC",0.25
"Deoxyandirobin Lactone","LSM-1661","A549",0.25
"5-Nitroso-8-cinnolinol","LSM-2275","MCF7",0.25
"BRD-K17630163","LSM-14741","VCAP",0.25
"CHEMBL2358849","LSM-41522","VCAP",0.25
"BRD-K66658536","LSM-40906","MCF7",0.25
"Rabeprazole","LSM-5045","PC3",0.25
"Sulfamethizole","LSM-5455","PC3",0.25
"BRD-K12942263","LSM-7023","VCAP",0.25
"ZINC95486475","LSM-5822","PC3",0.25
"ML179","LSM-3734","PC3",0.25
"BRD-K64106162","LSM-45347","HA1E",0.25
"ZINC01043777","LSM-4908","PC3",0.25
"Benzofuran","LSM-36964","HA1E",0.25
"MW-STK33-97","LSM-44613","THP1",0.25
"MLS003178531","LSM-3273","HCC515",0.25
"Tyrphostin AG 538","LSM-42862","NPC",0.25
"Ovasterol-beta","LSM-1488","HCC515",0.25
"BRD-K07452532","LSM-6798","VCAP",0.25
"BRD-K24885102","LSM-38630","VCAP",0.25
"Thiocolchicoside","LSM-1316","HELA",0.25
"BRD-K10844902","LSM-9091","VCAP",0.25
"MLS003448141","LSM-2187","VCAP",0.25
"BRD-K65426421","LSM-40845","HT29",0.25
"BRD-K54585147","LSM-11740","VCAP",0.25
"Isonicotinohydroxamic acid","LSM-36788","MCF7",0.25
"Bufalin","LSM-3419","NPC",0.25
"Asenapine","LSM-5679","PC3",0.25
"BRD-K07516181","LSM-8874","A375",0.25
"BRD-K54294645","LSM-40246","MCF7",0.25
"BRD-K75467206","LSM-13048","VCAP",0.25
"BRD-K95090559","LSM-42424","VCAP",0.25
"Laudanosine","LSM-1406","HA1E",0.25
"BSPBIO_001530","LSM-1549","VCAP",0.25
"Aggc","LSM-43232","FIBRNPC",0.25
"BRD-K69888333","LSM-41074","PC3",0.25
"BRD-K57552429","LSM-11911","VCAP",0.25
"SID7969543","LSM-1558","VCAP",0.25
"CHEMBL1550983","LSM-3129","PC3",0.25
"MK-5172","LSM-45592","YAPC",0.25
"BRD-K57638192","LSM-11916","MCF7",0.25
"RS-100329","LSM-2172","HA1E",0.25
"SA-103013","LSM-42258","NKDBA",0.25
"BRD-K13245569","LSM-43450","MCF7",0.25
"BRD-K02043218","LSM-44672","VCAP",0.25
"SPBIO_002561","LSM-2031","MCF7",0.25
"BRD-K85536714","LSM-13657","A549",0.25
"Rabusertib","LSM-36359","ASC.C",0.25
"BRD-K95517054-001-01-7","LSM-6786","HEPG2",0.25
"4',6-Dihydroxyflavone","LSM-4636","HT29",0.25
"MLS003448170","LSM-3889","VCAP",0.25
"IN1549","LSM-4488","MCF7",0.25
"BRD-K57476701","LSM-11906","VCAP",0.25
"396129-53-6","LSM-2120","SKB",0.25
"Vitamin B12","LSM-46022","HA1E",0.249
"CHEMBL287327","LSM-3665","ASC",0.249
"BRD-K19870323","LSM-38335","PC3",0.249
"SKF 81297","LSM-1301","HCC515",0.249
"N-[4-Chloro-3-(trifluoromethyl)phenyl]-2-ethoxybenzamide","LSM-6321","NPC",0.249
"BRD-K58879212","LSM-11986","VCAP",0.249
"BRD-K59519347","LSM-12025","VCAP",0.249
"AC1LUIBL","LSM-6693","NPC",0.249
"BRD-K10232869","LSM-37804","VCAP",0.249
"Puromycin Hydrochloride","LSM-1431","VCAP",0.249
"BRD-K37237818","LSM-39315","VCAP",0.249
"BRD-K55197905","LSM-11774","VCAP",0.249
"AC1NS4S0","LSM-43073","SKM1",0.249
"BRD-K85433055","LSM-13652","VCAP",0.249
"BRD-K01979737","LSM-8553","VCAP",0.249
"BRD-K25990552","LSM-38695","A549",0.249
"BRD-K88008216","LSM-42071","MCF7",0.249
"BRD-K52371706","LSM-7524","VCAP",0.249
"AHU-377 (hemicalcium salt)","LSM-45643","HA1E",0.249
"BRD-K13999467","LSM-7037","VCAP",0.249
"Dubinidine","LSM-1971","MCF7",0.249
"CID 74180475","LSM-36624","HEPG2",0.249
"Sobetirome","LSM-45487","PC3",0.249
"ETHYLENEDIAMINE TETRACETATE TETRA-ETHANOLAMINE","LSM-45734","PC3",0.249
"Alitretinoin","LSM-42856","PC3",0.249
"BRD-K97924168","LSM-14446","VCAP",0.249
"BRD-K86312065","LSM-41980","VCAP",0.249
"N2-Methyl-5-nitro-n4-phenylpyrimidine-2,4,6-triamine","LSM-4880","A549",0.249
"BRD-K25719068","LSM-6095","A549",0.249
"BRD-K35376105-019-01-2","LSM-36531","VCAP",0.249
"ethyl 6-(2,3-dihydro-1H-indol-1-ylmethyl)-4-(3-nitrophenyl)-2-oxo-1,2,3,4-tetrahydro-5-pyrimidinecarboxylate","LSM-45350","U937",0.249
"SDZ-201106","LSM-21614","YAPC",0.249
"Pala","LSM-6202","T3M10",0.249
"MLS002473643","LSM-6119","HT29",0.249
"ML175","LSM-3291","PC3",0.249
"SEW2871","LSM-2340","MCF7",0.249
"CHEMBL1890309","LSM-4107","PC3",0.249
"BRD-K78542975","LSM-13230","VCAP",0.249
"BRD-K74020160","LSM-41294","PC3",0.249
"BRD-A26627799","LSM-37271","A375",0.249
"MRE-269","LSM-45331","HL60",0.249
"BRD-K89447773","LSM-42149","HT29",0.249
"BRD-K71585907","LSM-41165","VCAP",0.249
"BRD-K08306736","LSM-8929","VCAP",0.249
"MAYBRIDGE4_003028","LSM-4600","A549",0.249
"BRD-K31931379","LSM-10366","MCF7",0.249
"ICG-001","LSM-6267","VCAP",0.249
"CHEMBL1520057","LSM-2178","MCF7",0.249
"Daminozide","LSM-6329","MCF7",0.249
"BRD-K22479833","LSM-9791","VCAP",0.249
"MLS000038113","LSM-4839","NKDBA",0.249
"BRD-K89161054","LSM-44896","VCAP",0.249
"VU0418939-2","LSM-3547","MCF7",0.249
"CID 46937236","LSM-1269","HEPG2",0.249
"Voreloxin (Hydrochloride)","LSM-45617","HT29",0.249
"BRD-K73141149","LSM-12908","VCAP",0.249
"MLS-0390932.0001","LSM-4875","HEPG2",0.249
"CHEMBL2359502","LSM-42618","SKB",0.249
"CHEMBL2145339","LSM-38490","HT29",0.249
"MLS002473937","LSM-37498","VCAP",0.249
"CHEMBL1884008","LSM-6153","MCF7",0.249
"Ibutilide","LSM-43264","YAPC",0.249
"BRD-K85592362","LSM-41939","HT29",0.249
"Bendamustine HCl","LSM-45554","A375",0.249
"Hydroquinine","LSM-1805","VCAP",0.249
"NCGC00172397-01","LSM-36640","PHH",0.249
"SA-424068","LSM-41827","MCF7",0.249
"SA-1938219","LSM-38784","MCF7",0.249
"TCMDC-125843","LSM-2337","HT29",0.249
"MLS-0437135.0001","LSM-1550","HCC515",0.249
"BRD-K59340545","LSM-12016","VCAP",0.249
"BRD-K01651394","LSM-43355","VCAP",0.249
"Altanserin","LSM-1987","VCAP",0.249
"BRD-K07609594","LSM-43447","VCAP",0.249
"BRD-M54407015","LSM-45045","VCAP",0.249
"BRD-K00150267","LSM-8432","VCAP",0.249
"Ifenprodil","LSM-4369","A549",0.249
"Nalbuphine","LSM-3477","VCAP",0.249
"Methantheline","LSM-2202","PC3",0.249
"Estramustine phosphate sodium","LSM-45379","PC3",0.249
"MLS002554298","LSM-3179","A549",0.249
"SCHEMBL3363896","LSM-3789","VCAP",0.249
"ICI-199,441","LSM-3643","NPC",0.249
"CHEMBL3184905","LSM-39753","HT29",0.249
"LY 303511","LSM-2497","HEPG2",0.249
"MLS002607729","LSM-3122","A375",0.249
"BRD-K94193354","LSM-14996","VCAP",0.249
"AC1NZGSN","LSM-44975","ASC",0.249
"Dolasetron","LSM-45241","MCF7",0.248
"Peruvoside","LSM-42695","VCAP",0.248
"AC1O9BJ3","LSM-4717","NPC",0.248
"BRD-K67787765","LSM-14901","A549",0.248
"MLS002264458","LSM-2976","A375",0.248
"MLS002607806","LSM-1891","VCAP",0.248
"BRD-K89390280","LSM-15064","VCAP",0.248
"AT13387","LSM-45514","MCF7",0.248
"CHEMBL1900088","LSM-6657","PC3",0.248
"BRD-K97821886","LSM-14441","VCAP",0.248
"BRD-K05543852","LSM-8756","VCAP",0.248
"BRD-K60027289","LSM-12058","MCF7",0.248
"BRD-K08185175","LSM-8131","VCAP",0.248
"Tadalafil","LSM-4109","MCF7",0.248
"Asenapine maleate","LSM-45575","HT29",0.248
"Cromakalim","LSM-45374","HA1E",0.248
"SA-1925996","LSM-42061","MCF7",0.248
"Fomepizole","LSM-5671","A375",0.248
"MLS001065859","LSM-2643","PC3",0.248
"CID 91522200","LSM-5033","A375",0.248
"MLS001065876","LSM-3794","VCAP",0.248
"SA-441412","LSM-42442","MCF7",0.248
"Ezetimibe","LSM-5536","VCAP",0.248
"BRD-K44828732","LSM-39751","PC3",0.248
"omeprazole","LSM-45749","HELA",0.248
"BRD-M87776818","LSM-45074","VCAP",0.248
"BRD-K23688566","LSM-9854","VCAP",0.248
"SA-1921614","LSM-40574","MCF7",0.248
"BRD-K61952473","LSM-12184","A549",0.248
"CHEMBL2132134","LSM-9684","VCAP",0.248
"Tyrphostin AG 825","LSM-42864","HA1E",0.248
"MLS005000303","LSM-37807","A549",0.248
"Solifenacin succinate","LSM-45423","PC3",0.248
"Flunarizine","LSM-42878","PC3",0.248
"PRL-3InhibitorI","LSM-43277","MCF7",0.248
"AV-412 (free base)","LSM-45753","A375",0.248
"Regorafenib","LSM-1226","HA1E",0.248
"BRD-K51288770","LSM-40099","A549",0.248
"CGP13501","LSM-4158","HCC515",0.248
"BRD-K09725203","LSM-9022","VCAP",0.248
"MLS003650042","LSM-13279","VCAP",0.248
"Givinostat","LSM-4807","VCAP",0.248
"SCHEMBL15556278","LSM-1002","HS578T",0.248
"Dabigatran Etexilate","LSM-45249","MCF7",0.248
"Abiraterone","LSM-5658","HA1E",0.248
"BRD-K74163137","LSM-6150","A549",0.248
"BRD-K85205404","LSM-13637","NPC",0.248
"61364-37-2","LSM-5894","A375",0.248
"Vernakalant (Hydrochloride)","LSM-45707","HT29",0.248
"Metergoline","LSM-3265","A375",0.248
"Taselisib","LSM-45140","HT29",0.248
"BRD-K78627754","LSM-41560","HT29",0.248
"BRD-K21216453","LSM-9719","VCAP",0.248
"BRD-K64609558","LSM-40798","MCF7",0.248
"KUC104493","LSM-2344","HCC515",0.248
"BRD-K70711508","LSM-41121","HT29",0.248
"BRD-K00382464","LSM-8450","A549",0.248
"BRD-K63375110","LSM-40734","VCAP",0.248
"Licochalcone A","LSM-46030","PC3",0.248
"SA-1462738","LSM-39545","MCF7",0.248
"PX 12","LSM-4918","HT29",0.248
"VU0365118-1","LSM-3189","MCF7",0.248
"MLS002276523","LSM-1250","A549",0.248
"Chlorophenylpiperazine","LSM-25627","HELA",0.248
"BRD-K90543092-001-01-2","LSM-5955","A375",0.248
"INCA-6","LSM-2729","A549",0.248
"F2704-0009","LSM-3237","VCAP",0.248
"Dilevalol","LSM-5220","MCF7",0.248
"SPECTRUM_000403","LSM-1605","A549",0.248
"BRD-K00256608","LSM-8440","VCAP",0.248
"AVL-292","LSM-45948","A375",0.248
"Pravastatin","LSM-3347","MCF7",0.248
"BRD-K46445327","LSM-6601","HEPG2",0.248
"C37H48N6O5S2","LSM-4954","PC3",0.248
"Carbetocin","LSM-5025","MCF7",0.248
"BRD-K62283710","LSM-7678","VCAP",0.248
"BRD-K05672354","LSM-6075","ASC",0.248
"Carbachol Chloride","LSM-5827","HA1E",0.248
"BRD-K65526065","LSM-40849","MCF7",0.248
"LY404039","LSM-5605","PC3",0.248
"BRD-K58606467","LSM-44803","HT29",0.248
"264236-77-3","LSM-36668","SKB",0.248
"BRD-K19629349","LSM-9614","VCAP",0.248
"MLS002473457","LSM-4212","PC3",0.248
"BRD-K95041551","LSM-14254","VCAP",0.248
"2-Phenylethyl 3-(3,4-dihydroxyphenyl)prop-2-enoate","LSM-3894","VCAP",0.247
"Ccmq","LSM-2112","MCF7",0.247
"Probenecid","LSM-4140","HCC515",0.247
"BRD-K38643780","LSM-10771","A549",0.247
"MLS003650076","LSM-12381","A375",0.247
"BRD-K27865298","LSM-10112","VCAP",0.247
"PRESTWICK3_000121","LSM-1670","VCAP",0.247
"BRD-K37847786","LSM-10719","VCAP",0.247
"CICLESONIDE","LSM-45682","PC3",0.247
"BRD-K08706435","LSM-8955","A375",0.247
"Fatostatin","LSM-6295","SNGM",0.247
"BRD-K30312461","LSM-8189","VCAP",0.247
"SPECTRUM_000886","LSM-1906","YAPC",0.247
"MLS003221416","LSM-3508","VCAP",0.247
"ZINC00368262","LSM-4814","PC3",0.247
"BRD-K95033227","LSM-14253","VCAP",0.247
"BRD-K17083260","LSM-38170","VCAP",0.247
"BRD-K95549765","LSM-14287","VCAP",0.247
"BRD-K21232697","LSM-38420","VCAP",0.247
"SB590885","LSM-42746","HT29",0.247
"Necrostatin","LSM-1494","RKO",0.247
"Pimavanserin","LSM-45960","YAPC",0.247
"Ethisterone","LSM-2061","VCAP",0.247
"CHEMBL3184316","LSM-41974","PC3",0.247
"Bardoxolone Methyl","LSM-45471","A375",0.247
"Tacalcitol","LSM-45518","YAPC",0.247
"BRD-K68831362","LSM-41012","A375",0.247
"BRD-K14487375","LSM-9307","VCAP",0.247
"MLN9708","LSM-45406","MCF7",0.247
"Ticrynafen","LSM-5478","MCF7",0.247
"BRD-K56130969","LSM-11821","VCAP",0.247
"BRD-K34136030","LSM-44743","VCAP",0.247
"BRD-K08351986","LSM-37726","HT29",0.247
"316173-57-6","LSM-3027","ASC",0.247
"Esmolol","LSM-4957","HA1E",0.247
"BRD-K09640010","LSM-9017","A549",0.247
"BRD-K02952507","LSM-6740","VCAP",0.247
"BRD-K08293924","LSM-37722","VCAP",0.247
"SCHEMBL1675332","LSM-1848","VCAP",0.247
"BRD-K66857873","LSM-12502","A549",0.247
"2-Phenylaminoadenosine","LSM-1705","VCAP",0.247
"Methylnaltrexone (Bromide)","LSM-45638","PC3",0.247
"BRD-K20501513","LSM-38375","VCAP",0.247
"BRD-A31801025-001-01-0","LSM-1455","HT29",0.247
"Carprofen","LSM-1350","HT29",0.247
"BRD-K28884887","LSM-43462","A549",0.247
"MLS003568137","LSM-1980","A549",0.247
"Apoptosis Activator II","LSM-2329","ASC",0.247
"BRD-K77172154","LSM-41484","VCAP",0.247
"BRD-K96157570","LSM-15002","A375",0.247
"BRD-K06326887","LSM-8796","VCAP",0.247
"DR 2313","LSM-4130","MCF7",0.247
"BRD-K48225424","LSM-11362","VCAP",0.247
"SA-1919875","LSM-37856","MCF7",0.247
"Triazine Scaffold, 37","LSM-4051","VCAP",0.247
"WAY-170523","LSM-2795","PC3",0.247
"CHEMBL2137359","LSM-38414","A375",0.247
"Isoquinolinone Scaffold, 14","LSM-3690","VCAP",0.247
"4-[(5-Bromoquinolin-8-yl)amino]-4-oxobutanoic acid","LSM-4561","ASC",0.247
"MLS002703112","LSM-2931","MCF7",0.247
"SA-1458902","LSM-42561","MCF7",0.247
"BRD-K74327009","LSM-41316","A375",0.247
"BRD-K76779710","LSM-41464","PC3",0.247
"CHEMBL3185502","LSM-12707","NPC",0.247
"BRD-K32290015","LSM-39046","A375",0.247
"RAC-Etomoxir","LSM-36917","VCAP",0.247
"Methyldopa","LSM-5596","HT29",0.247
"MLS003130041","LSM-15129","PC3",0.247
"SMR000031368","LSM-2820","PC3",0.247
"Graveoline","LSM-4078","VCAP",0.247
"BRD-K11181277","LSM-36653","VCAP",0.247
"BRD-K90141430","LSM-13990","VCAP",0.247
"BRD-K23370299","LSM-14763","VCAP",0.247
"CHEMBL1965318","LSM-6612","MCF7",0.247
"Terfenadine","LSM-1273","HCC515",0.247
"Imiloxan","LSM-1308","A375",0.247
"CHEMBL2142922","LSM-40931","A549",0.247
"CHEMBL2355391","LSM-40030","VCAP",0.247
"BRD-K99017327","LSM-42630","HT29",0.247
"BRD-K19019278","LSM-9568","VCAP",0.247
"Mebhydrolin","LSM-43262","PC3",0.247
"BRD-K21165668","LSM-38416","MCF7",0.247
"AC1MEMPN","LSM-4019","PC3",0.247
"BRD-K14602451","LSM-7049","VCAP",0.247
"BRD-K31641287","LSM-10346","VCAP",0.247
"MLS002415567","LSM-2555","PC3",0.247
"BRD-K62876373","LSM-40713","VCAP",0.247
"MLS003129922","LSM-15083","MCF7",0.247
"Griseofulvin","LSM-5259","HELA",0.247
"PD-198306","LSM-3974","HCC515",0.247
"SCHEMBL12648395","LSM-36905","NPC",0.247
"CHEMBL2361739","LSM-8809","NKDBA",0.246
"BRD-K85197047","LSM-13635","A375",0.246
"BRD-K09404347-001-01-0","LSM-37768","HT29",0.246
"BRD-K48809858","LSM-11400","A549",0.246
"Cantharidin","LSM-42705","VCAP",0.246
"SPECTRUM_000819","LSM-1804","PC3",0.246
"N-38763a","LSM-37143","NPC",0.246
"MEGXM0_000282","LSM-44567","VCAP",0.246
"BRD-K41889859","LSM-14823","A375",0.246
"BRD-K54801580","LSM-40271","HT29",0.246
"BRD-K69237309","LSM-41038","A549",0.246
"BRD-K30371494","LSM-14785","VCAP",0.246
"Carbimazole","LSM-5930","A375",0.246
"6Alpha-methylprednisolone acetate","LSM-5985","PC3",0.246
"AC1LWSL2","LSM-3096","VCAP",0.246
"Inamrinone","LSM-6600","PC3",0.246
"Floxuridine","LSM-45624","HELA",0.246
"BRD-K75693278","LSM-13056","A549",0.246
"Farnesyl Thiotriazole","LSM-43047","HCC515",0.246
"BRD-K29312193","LSM-10203","VCAP",0.246
"BRD-K28083085","LSM-38800","MCF7",0.246
"BRD-K18727181","LSM-38272","VCAP",0.246
"BRD-K30857143","LSM-7250","VCAP",0.246
"Umbelliferone","LSM-3960","A375",0.246
"BRD-K35930698","LSM-10587","VCAP",0.246
"BRD-K77970970","LSM-13201","VCAP",0.246
"SC 19220","LSM-3162","A549",0.246
"MLS003337115","LSM-3510","A549",0.246
"5,6-Dichlorobenzimidazole riboside","LSM-5138","ASC",0.246
"CHEMBL2362282","LSM-39732","VCAP",0.246
"BRD-K57328348","LSM-40414","PC3",0.246
"BRD-K12092185","LSM-7004","VCAP",0.246
"ST50928773","LSM-4459","MCF7",0.246
"CHEMBL1394624","LSM-1401","VCAP",0.246
"BRD-K16778485","LSM-9443","A549",0.246
"BRD-K54029516","LSM-11717","VCAP",0.246
"Ampiroxicam","LSM-5043","MCF7",0.246
"Buthionine Sulfoxime","LSM-4915","NPC",0.246
"BRD-K71169857","LSM-41147","HT29",0.246
"BRD-K39367499","LSM-10816","VCAP",0.246
"SUDAHWBOROXANE-UHFFFAOYSA-N","LSM-5068","VCAP",0.246
"BRD-K39799535","LSM-10851","VCAP",0.246
"Mycophenolic acid","LSM-42933","HELA",0.246
"2-Cyano-3-(3,4-dihydroxy-5-nitrophenyl)-n,n-diethylprop-2-enamide","LSM-5898","PC3",0.246
"BRD-K12815005","LSM-7020","VCAP",0.246
"BRD-K19898724","LSM-38337","HT29",0.246
"NCGC00166323-01","LSM-6478","HELA",0.246
"3,5-DHPG","LSM-4358","A375",0.246
"SA-1939126","LSM-39500","NKDBA",0.246
"BRD-K86449639","LSM-41986","HT29",0.246
"Sulpiride","LSM-5080","A375",0.246
"BRD-K02248910","LSM-14681","VCAP",0.246
"MLS003129313","LSM-7956","VCAP",0.246
"BRD-K04856990","LSM-37532","MCF7",0.246
"BRD-K98036459","LSM-14454","VCAP",0.246
"BRD-K12511144","LSM-9175","MCF7",0.246
"MLS003448143","LSM-2311","A375",0.246
"BRD-K95976153","LSM-42480","VCAP",0.246
"Fentanyl Isothiocyanate","LSM-2391","ASC",0.246
"CHEMBL1271429","LSM-3641","PC3",0.246
"Dronedarone HCl","LSM-45428","HA1E",0.246
"Naproxol","LSM-2742","MCF7",0.246
"BRD-K52047316","LSM-15089","A375",0.246
"Galantamine","LSM-5604","VCAP",0.246
"BRD-K34230554","LSM-39140","MCF7",0.246
"Fenoldopam","LSM-1609","HELA",0.246
"BRD-K91701366","LSM-42265","HT29",0.246
"BRD-K96697180","LSM-36441","MCF7",0.246
"BRD-K39114105","LSM-10800","A549",0.246
"BRD-K31112909","LSM-10307","NPC",0.246
"BRD-K37552925","LSM-10699","VCAP",0.246
"Taurocholate","LSM-5866","ASC",0.246
"Rifapentine","LSM-43188","HA1E",0.246
"BIOMOL-NT_000059","LSM-1707","HT29",0.246
"Memantine","LSM-5154","PC3",0.246
"BRD-K97829610","LSM-14442","VCAP",0.246
"BRD-K28995283","LSM-38845","PC3",0.246
"BRD-K81739235","LSM-41734","MCF7",0.246
"Abexinostat","LSM-2269","MCF7",0.246
"BRD-K15600521","LSM-6749","VCAP",0.246
"Adarotene","LSM-45863","MCF7",0.246
"Iocetamic acid","LSM-1498","VCAP",0.246
"Calcitriol","LSM-43088","PC3",0.246
"GW7647","LSM-4172","HA1E",0.246
"Perindopril","LSM-4080","A375",0.246
"Diethylstilbestrol","LSM-42960","PC3",0.246
"BRD-K74511610","LSM-12990","VCAP",0.246
"Lobelanidine","LSM-1665","HEPG2",0.246
"JX401","LSM-2097","HEPG2",0.246
"5-BrdU","LSM-45493","HA1E",0.246
"TAK-242","LSM-45934","MCF7",0.246
"Fadrozole","LSM-5015","PC3",0.246
"BRD-K42702351","LSM-11021","VCAP",0.246
"BRD-K36991730","LSM-39299","HT29",0.245
"BRD-K34673904","LSM-39167","HT29",0.245
"BRD-K79532217","LSM-41611","A549",0.245
"BRD-K67925802","LSM-40971","VCAP",0.245
"SA-1919584","LSM-40752","NKDBA",0.245
"SA-1922959","LSM-38477","MCF7",0.245
"ML-4-054","LSM-45993","PHH",0.245
"BRD-K21913257","LSM-9756","A375",0.245
"BRD-K32799329","LSM-10418","VCAP",0.245
"Lanacordin","LSM-5141","HCC515",0.245
"BRD-K59977049","LSM-12054","VCAP",0.245
"BRD-K86629698","LSM-41998","VCAP",0.245
"MK-0812","LSM-45856","HT29",0.245
